rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Homepage CTA clutter,HIGH,/,Medium,2-5 days,5,10,no,conversion,"Homepage offers multiple competing CTAs, diluting the primary signup path.","Homepage offers multiple competing CTAs, diluting the primary signup path.",cta: Start for free as sole emphasized hero CTA; add Pricing as secondary CTA.; notes: Move desktop app and support to nav/footer.,ctas: Book a demo | Start for free | Get the desktop app | Contact support,"Funnel Path, Navigation & Information Scent",0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_1_homepage_cta_clutter.html
2,Misleading 'Download' menu label,MEDIUM,Navigation,Low,0.5-2 days,5,10,no,traffic,"Footer groups Enterprise and Pricing under 'Download', mislabeling their destinations.","Footer groups Enterprise and Pricing under 'Download', mislabeling their destinations.",notes: Split Enterprise and Pricing into separate labeled sections.,Download [Chrome extension](https://chromewebstore.google.com/detail/voicenotes-ai-transcribe/ijhnkhjjjpoloniinkaobelgghfckiep?hl=en) [iOS](https://apps.apple.com/us/app/voicenotes-ai-notes-meetings/id6483293628) [Android](https://play.google.com/store/apps/details?id=com.app.voicenotes&pli=1) [Enterprise](https://voicenotes.com/enterprise) [P | Resources [IntegrationsConnect your favourite tools.](https://help.voicenotes.com/en/collections/12277349-integrations),Navigation & Information Scent,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_2_misleading_download_menu_label.html
3,Competing CTAs on pricing,URGENT,Pricing & Plans,Medium,2-5 days,4,10,no,conversion,"Multiple equally prominent CTAs on the pricing page dilute the primary action, confusing self-serve buyers.","Multiple equally prominent CTAs on the pricing page dilute the primary action, confusing self-serve buyers.","cta: One primary CTA per tier, secondary actions demoted.; notes: Visually demote demo, sales, and desktop-app links.",ctas: Book a demo | Start for free | Get Started | Contact Sales | Get the desktop app | Contact support,Funnel Path,0.4,1.6,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 2.0-8.0% relative lift",124891,,finding_3_competing_ctas_on_pricing.html
4,Unsubstantiated security claim,HIGH,Pricing & Plans,Medium,2-5 days,4,10,no,trust,"The security promise lacks visible certifications or details, reducing trust.","The security promise lacks visible certifications or details, reducing trust.",notes: Add compliance badges and security details.,h2: Enterprise-grade security. No compromise.,Trust & Social Proof,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_4_unsubstantiated_security_claim.html
5,Missing trust signals above fold,HIGH,Trust & Proof,Medium,2-5 days,4,10,yes,trust,"The homepage shows no sign of returns policy, guarantee, so a first-time visitor has nothing to offset purchase risk.","The homepage shows no sign of returns policy, guarantee, so a first-time visitor has nothing to offset purchase risk.","notes: Surface review counts, the returns window and a guarantee near the primary call to action.","Measured on the live homepage: no match for returns policy, guarantee.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_5_missing_trust_signals_above_fold.html
6,Lack of risk reversal on pricing,MEDIUM,Pricing & Plans,Medium,2-5 days,4,10,no,conversion,"Pricing page offers no guarantee or refund statement near decision points, increasing perceived risk.","Pricing page offers no guarantee or refund statement near decision points, increasing perceived risk.",cta: Get Started with no-risk guarantee; notes: Add refund or trial statement near pricing tiers.,prices: $0 $9 /user $24 /user | ctas: Book a demo | Start for free | Get Started | Contact Sales | Get the desktop app | Contact support,Trust & Social Proof,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_6_lack_of_risk_reversal_on_pricing.html
7,Per-user prices lack billing period,MEDIUM,Pricing & Plans,Medium,2-5 days,4,10,no,conversion,"Paid tiers show per-user prices without specifying monthly or annual billing, causing confusion.","Paid tiers show per-user prices without specifying monthly or annual billing, causing confusion.",notes: Append 'per month' or 'per year' to each price.,prices: $0 $9 /user $24 /user,Pricing & Cost Transparency,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_7_per_user_prices_lack_billing_period.html
8,Enterprise email gate before value,HIGH,/Enterprise,Medium,2-5 days,3,10,no,conversion,"Enterprise page leads with a business email capture, blocking access to pricing and product details.","Enterprise page leads with a business email capture, blocking access to pricing and product details.",h1: Bring Voicenotes to your team; cta: Book a demo as primary; email capture later.; notes: Show indicative pricing or overview above email form.,title: Voicenotes for Enterprise | What is your business email? | h1: Bring Voicenotes to your team | ctas: Book a demo | Start for free | Contact support,"Funnel Path, Form & Interaction Friction, Pricing & Cost Transparency, Navigation & Information Scent",0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_8_enterprise_email_gate_before_value.html
9,Unsubstantiated social proof claim,HIGH,Trust & Proof,Low,0.5-2 days,3,10,no,trust,The homepage claims real customer results without providing logos or quotes to back it up.,The homepage claims real customer results without providing logos or quotes to back it up.,notes: Add customer logos and quotes under the heading.,h2: Real teams. Real meetings. Real results.,Trust & Social Proof,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_9_unsubstantiated_social_proof_claim.html
10,Enterprise link lands on email gate,MEDIUM,/Enterprise,Low,0.5-2 days,3,10,no,traffic,"The 'Enterprise' nav label promises an overview but lands on an email capture form, mismatching expectations.","The 'Enterprise' nav label promises an overview but lands on an email capture form, mismatching expectations.",h1: Bring Voicenotes to your team; cta: Book a demo; notes: Show overview above email form or relabel nav link.,title: Voicenotes for Enterprise | What is your business email? | h1: Bring Voicenotes to your team,Navigation & Information Scent,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_10_enterprise_link_lands_on_email_gate.html
